Amont_max,Amont_min,Amont_moyen,Aval_max,Aval_min,Aval_moyen,Debit_Moyen,Debit_max,Debit_min
39.7,39.09,39.55645161290323,23.23,22.5,22.859032258064516,2390.526129032258,3164.97,1673.8
41.16,40.96,41.088064516129016,23.22,22.43,22.758387096774197,2227.2829032258064,3008.18,1697.87
41.15,41.05,41.1132258064516,23.35,22.87,23.155483870967743,2851.2741935483873,3231.8,2367.85
41.09,40.61,40.96838709677419,23.78,22.7,23.032580645161293,2635.0377419354836,3967.33,2069.65
41.09,39.6,40.269677419354835,24.24,22.87,23.645806451612906,3924.2345161290314,5407.32,2417.89
41.15,40.94,41.111290322580636,22.92,22.18,22.497096774193547,1798.852580645161,2468.32,1403.09
40.69,39.59,40.06290322580645,24.09,23.16,23.604516129032252,3498.72,5133.87,2711.13
41.01,39.61,40.15064516129033,24.03,22.81,23.543225806451616,3552.8735483870973,4989.99,2107.31
41.15,39.5,40.37903225806452,24.27,22.72,23.482258064516127,3535.7848387096774,5459.96,1902.49
41.14,39.5,40.2458064516129,24.68,22.96,24.076129032258066,4805.580967741935,6329.23,2386.31
41.15,41.09,41.12354838709678,23.98,23.03,23.683225806451613,3841.458064516129,4712.51,2544.49
41.16,40.71,40.96290322580644,25.27,24.11,24.647419354838707,6496.324838709676,8105.1,4928.03
41.17,40.67,40.99903225806453,24.13,22.35,23.184516129032257,3056.60129032258,5294.68,1538.73
41.15,39.93,40.774838709677425,24.08,23.21,23.72258064516129,3861.3841935483874,4963.91,2774.9
41.21,40.45,40.9983870967742,23.64,22.14,22.833225806451615,2326.298709677419,3738.16,1308.23
41.15,39.69,40.77032258064516,24.09,22.47,23.30290322580645,2923.0622580645163,4594.91,1660.04
40.94,40.08,40.40322580645162,24.73,23.31,24.131290322580647,5022.76935483871,6686.0,2932.01
41.16,40.17,40.81935483870968,23.25,22.02,22.680645161290318,2736.2580645161293,3692.0,1708.0
41.15,40.48,40.935483870967744,23.13,22.35,22.730645161290322,2996.0,3792.0,2163.0
41.15,40.06,40.91612903225807,23.24,21.77,22.399999999999995,2283.483870967742,4183.0,1154.0
41.13,39.97,40.44354838709677,24.36,22.78,23.573548387096775,4914.612903225807,6907.0,2982.0
41.16,40.32,40.916129032258084,23.15,22.16,22.559677419354838,2916.0,4269.0,2004.0
41.15,40.08,40.62935483870969,23.68,22.12,22.87032258064516,3793.299677419355,5896.24,2043.11
41.14,40.89,41.09096774193547,23.29,22.17,22.5558064516129,2769.141935483871,4646.63,1667.58
41.16,40.96,41.11548387096776,21.91,21.67,21.744838709677424,1176.4287096774194,1411.0,956.28
41.16,40.11,40.952580645161305,23.27,22.11,22.54032258064516,2787.9564516129035,4368.36,1881.0
41.15,40.96,41.11387096774194,22.94,22.31,22.61612903225807,2985.780967741936,3648.05,2181.65
41.15,40.54,41.0341935483871,23.07,22.13,22.49451612903226,2628.038387096774,3894.0,1865.68
41.14,40.06,40.82322580645161,23.44,21.84,22.45258064516129,2542.0554838709677,4691.0,1385.71
41.14,40.0,40.81096774193547,23.29,21.99,22.65290322580645,2998.2999999999997,4446.0,1672.0
41.15,40.94,41.115483870967765,22.67,21.86,22.146774193548392,1783.9325806451614,2696.55,1233.0
41.14,41.11,41.12612903225807,22.6,22.28,22.466774193548392,2571.674516129032,2970.0,2171.17
41.14,41.06,41.11967741935482,22.72,21.87,22.255483870967744,2381.5806451612902,3307.0,1627.0
41.13,40.03,40.26258064516129,23.85,22.67,23.299032258064514,4212.014838709677,5558.0,2942.0
41.14,40.03,40.28483870967742,24.19,22.71,23.55193548387097,4693.474838709678,6382.0,2832.0
41.15,41.12,41.13290322580647,22.5,21.6,21.962258064516124,1396.0645161290322,2349.0,728.0
41.15,41.12,41.1335483870968,21.93,21.54,21.69774193548387,1278.9951612903226,1671.0,897.0
41.15,40.6,41.08032258064518,23.13,21.79,22.448387096774198,2711.5806451612902,4274.0,1477.0
41.14,41.13,41.13645161290325,22.65,21.63,21.945483870967742,1755.9354838709678,3030.0,1192.0
41.11,40.06,40.86612903225805,23.51,22.35,23.053870967741933,3950.6451612903224,5059.0,2712.0
41.1,40.94,41.07354838709675,22.48,21.76,22.031612903225806,1867.902580645161,2533.48,1262.08
41.03,40.41,40.74516129032258,23.22,22.63,22.92806451612903,3864.987419354839,4909.0,2994.5
41.1,40.48,40.96870967741935,23.53,21.8,22.371612903225802,2498.7474193548387,4824.19,1502.48
41.14,40.88,41.119354838709704,22.91,22.02,22.392903225806446,2444.2983870967746,3254.74,1762.27
41.14,40.96,41.112258064516155,22.58,21.62,21.960967741935484,1722.0045161290325,2903.67,1136.92
41.11,40.49,40.8916129032258,23.84,22.3,22.899677419354834,3227.5629032258057,5052.38,2046.56
41.11,40.49,40.940967741935474,23.48,22.52,22.95258064516129,3358.3206451612905,4558.56,2559.08
41.14,41.11,41.12774193548389,21.55,21.36,21.46967741935484,947.5287096774193,1162.96,723.92
41.08,40.48,40.80967741935484,23.6,22.45,23.02774193548387,3640.3374193548384,4931.21,2476.71
41.14,40.92,41.106129032258075,22.3,21.58,21.93548387096774,1677.0283870967742,2357.89,963.47
40.92,40.5,40.68580645161292,23.78,22.98,23.315161290322575,4320.0132258064505,5186.19,3678.71
40.93,40.48,40.55741935483871,23.75,22.97,23.46548387096774,4613.343225806452,5213.26,3559.98
41.14,41.01,41.088064516129016,22.66,22.07,22.26032258064516,2390.6535483870966,2965.07,2001.62
41.09,40.51,40.959677419354826,23.44,22.29,22.715483870967745,3203.4958064516127,4535.63,2332.63
40.91,40.5,40.60387096774195,25.11,23.22,24.066774193548387,6103.333225806451,8861.79,3998.87
