Time,Precipitation,pressure,humidex,Rosee,Temperature,Chill,Humidite,Dir_wind,Mod_wind
18-12-09_09,0.14,1038.0,-8.0,-7.8,-5.1,-8.0,81.0,208.0,6.0
18-12-09_10,0.0,1039.0,-7.0,-6.7,-3.9,-7.0,81.0,201.0,6.0
18-12-09_11,0.0,1033.0,-5.0,-6.0,-2.7,-5.0,78.0,184.0,5.0
18-12-09_12,0.0,1018.0,-2.0,-5.8,-0.2,-3.0,66.0,208.0,8.0
18-12-09_13,0.0,1106.0,-2.0,-6.0,0.0,-5.0,64.0,268.0,18.0
18-12-09_14,0.0,1038.0,-2.0,-5.4,0.4,0.4,65.0,264.0,15.0
18-12-09_15,0.0,1036.0,-1.0,-4.6,0.6,0.6,68.0,264.0,15.0
18-12-09_16,0.07,1052.0,-2.0,-3.9,0.2,0.2,74.0,263.0,14.0
18-12-09_17,0.0,1039.0,-1.0,-6.7,0.8,0.8,57.0,269.0,16.0
18-12-09_18,0.0,1039.0,-1.0,-7.1,0.7,0.7,56.0,269.0,16.0
18-12-09_19,0.0,1041.0,-2.0,-6.6,0.5,0.5,59.0,270.0,14.0
18-12-09_20,0.0,1046.0,-2.0,-6.2,0.2,0.2,62.0,267.0,13.0
18-12-09_21,0.0,680.0,-2.0,-6.0,-0.0,-4.0,64.0,268.0,13.0
18-12-09_22,0.0,1088.0,-2.0,-5.3,0.1,0.1,67.0,267.0,14.0
18-12-09_23,0.0,1029.0,-3.0,-7.0,-0.6,-5.0,62.0,287.0,13.0
18-12-10_00,0.0,1032.0,-4.0,-8.5,-1.3,-5.0,58.0,300.0,10.0
18-12-10_01,0.0,1035.0,-5.0,-10.2,-2.4,-6.0,55.0,303.0,9.0
18-12-10_02,0.0,1034.0,-6.0,-10.3,-3.5,-8.0,59.0,310.0,11.0
18-12-10_03,0.0,1035.0,-8.0,-10.6,-4.7,-9.0,63.0,212.0,10.0
18-12-10_04,0.0,1035.0,-9.0,-12.1,-6.0,-10.0,62.0,115.0,9.0
18-12-10_05,0.0,1034.0,-10.0,-14.0,-6.2,-10.0,54.0,104.0,8.0
18-12-10_06,0.0,1035.0,-10.0,-13.6,-6.1,-9.0,55.0,174.0,7.0
18-12-10_07,0.0,1035.0,-10.0,-13.8,-6.5,-11.0,56.0,234.0,9.0
18-12-10_08,0.0,1036.0,-10.0,-14.4,-6.4,-10.0,53.0,283.0,8.0
18-12-10_09,0.0,1041.0,-10.0,-15.7,-6.5,-10.0,48.0,268.0,8.0
18-12-10_10,0.0,1040.0,-10.0,-15.7,-6.5,-11.0,48.0,202.0,10.0
18-12-10_11,0.0,1039.0,-10.0,-15.5,-6.3,-9.0,48.0,218.0,6.0
18-12-10_12,0.0,1039.0,-9.0,-15.2,-6.0,-9.0,48.0,202.0,6.0
18-12-10_13,0.0,1039.0,-9.0,-15.0,-6.0,-8.0,49.0,248.0,5.0
18-12-10_14,0.0,1042.0,-9.0,-15.3,-5.8,-9.0,47.0,277.0,7.0
18-12-10_15,0.0,1039.0,-9.0,-14.9,-5.4,-9.0,47.0,262.0,8.0
18-12-10_16,0.0,1042.0,-9.0,-14.7,-5.7,-9.0,49.0,266.0,7.0
18-12-10_17,0.0,1058.0,-9.0,-13.5,-6.0,-10.0,55.0,282.0,10.0
18-12-10_18,0.0,1056.0,-10.0,-13.8,-6.5,-11.0,56.0,281.0,9.0
